"","Site ID","17-alpha-Estradiol","17-beta-Estradiol","3-beta-Coprostanol","Cholesterol","cis-Androsterone","Estrone","Testosterone","trans-Diethylstilbestrol","3,4-Dichloroaniline","3,5-Dichloroaniline","Atrazine","Azoxystrobin","Bifenthrin","Boscalid","Carbaryl","Chlorothalonil","Dacthal (DCPA)","Fenhexamid","Fipronil","Fipronil sulfone","Iprodione","Metalaxyl","Metolachlor","Myclobutanil","Pendimethalin","Prometon","Simazine","Tebuconazole","day","month","year","Discharge (cfs)","E2EqBLYES (ng/L)"
"36","Antietam, Sharpsburg",0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,10,7,2017,181,0
"37","Antietam, Sharpsburg",0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,8,8,2017,202,0
"38","Chillisquaque Cr",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,20,11,2014,24.9,0
"39","Chillisquaque Cr",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,20,11,2014,24.9,0
"40","Chillisquaque Cr",0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,15,12,2014,130,0
"41","Chillisquaque Cr",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,13,1,2015,63,1
"42","Chillisquaque Cr",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,4,2015,178,0
"43","Chillisquaque Cr",0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,19,4,2015,71.2,0
"44","Chillisquaque Cr",0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,4,5,2015,47.6,1
"45","Chillisquaque Cr",0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,17,5,2015,51.5,1
"46","Chillisquaque Cr",0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,6,2015,31.7,1
"47","Chillisquaque Cr",0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,16,6,2015,34.1,1
"48","Chillisquaque Cr",0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,21,6,2015,306,0
"49","Chillisquaque Cr",0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,7,2015,243,0
"50","Chillisquaque Cr",0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,28,9,2015,17.5,1
"51","Chillisquaque Cr",0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,19,10,2015,15.2,0
"52","Chillisquaque Cr",0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,29,10,2015,632,1
"53","Chillisquaque Cr",0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,16,11,2015,63.3,1
"54","Chillisquaque Cr",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,14,12,2015,58.7,0
"55","Chillisquaque Cr",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2016,54.2,0
"56","Chillisquaque Cr",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,2,2016,298,1
"57","Chillisquaque Cr",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,2,2016,298,1
"58","Chillisquaque Cr",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,4,2016,53.3,0
"59","Chillisquaque Cr",0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,18,4,2016,68.6,0
"60","Chillisquaque Cr",0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,5,2016,109,1
"61","Chillisquaque Cr",0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,16,5,2016,71.4,0
"62","Chillisquaque Cr",0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,20,6,2016,23.8,1
"63","Chillisquaque Cr",0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12,7,2016,23.2,0
"64","Chillisquaque Cr",0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,8,2016,71.8,0
"65","Chillisquaque Cr",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,5,9,2016,21.4,0
"66","Chillisquaque Cr",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,14,10,2016,7.21,0
"67","Chillisquaque Cr",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,10,11,2016,13.6,0
"68","Pine Cr Waterville",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,11,2014,329,0
"69","Pine Cr Waterville",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,12,2014,1100,0
"70","Pine Cr Waterville",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,2015,981,0
"71","Pine Cr Waterville",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,4,2015,4610,0
"72","Pine Cr Waterville",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,4,2015,2100,0
"73","Pine Cr Waterville",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,2015,1060,0
"74","Pine Cr Waterville",0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,5,2015,633,1
"75","Pine Cr Waterville",0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,2015,717,0
"76","Pine Cr Waterville",0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10,6,2015,1380,0
"77","Pine Cr Waterville",0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,17,6,2015,696,1
"78","Pine Cr Waterville",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,9,2015,91,0
"79","Pine Cr Waterville",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,10,2015,279,1
"80","Pine Cr Waterville",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,16,11,2015,1720,0
"81","Pine Cr Waterville",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,12,2015,880,0
"82","Pine Cr Waterville",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2016,575,0
"83","Pine Cr Waterville",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,2016,1220,0
"84","Pine Cr Waterville",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,4,2016,1670,0
